iter	RMSE
0	20.04946646
1	19.15574771
2	18.39246458
3	17.74275778
4	17.18255566
5	16.70900579
6	16.3068198
7	15.96595128
8	15.67950371
9	15.43289779
10	15.22793331
11	15.05394045
12	14.90646701
13	14.78089102
14	14.67671511
15	14.58448445
16	14.50596013
17	14.43565246
18	14.37628717
19	14.32647566
20	14.28237706
21	14.24740942
22	14.21197682
23	14.18367342
24	14.15810317
25	14.13488422
26	14.11622572
27	14.09849171
28	14.08385342
29	14.07008747
30	14.05736354
31	14.0467597
32	14.03736067
33	14.02764774
34	14.02003516
35	14.0119017
36	14.00494821
37	13.9996526
38	13.99423126
39	13.98815559
40	13.98321312
41	13.97902483
42	13.97529195
43	13.97171264
44	13.96800624
45	13.96494376
46	13.9618215
47	13.9586871
48	13.95634485
49	13.95335695
50	13.95022077
51	13.94652845
52	13.94352084
53	13.9413425
54	13.93943931
55	13.93748299
56	13.93457971
57	13.9319521
58	13.93023595
59	13.92901939
60	13.92724784
61	13.92590991
62	13.92471307
63	13.92336021
64	13.92169356
65	13.91981599
66	13.91893835
67	13.91713884
68	13.91569434
69	13.91389328
70	13.91228838
71	13.91050526
72	13.90892372
73	13.90812251
74	13.90670285
75	13.90577043
76	13.90492863
77	13.90422186
78	13.90325986
79	13.90220752
80	13.90072732
81	13.89993962
82	13.8987981
83	13.8978838
84	13.89709747
85	13.89616673
86	13.89556839
87	13.89431421
88	13.89346826
89	13.89272293
90	13.89199748
91	13.89071886
92	13.89003913
93	13.88906807
94	13.88809719
95	13.88751978
96	13.88637593
97	13.88598528
98	13.88535306
99	13.88459326
100	13.88384157
101	13.88335644
102	13.88269986
103	13.8823132
104	13.88164541
105	13.88101018
106	13.88030077
107	13.87965189
108	13.87911603
109	13.87846646
110	13.87773359
111	13.87692123
112	13.87647625
113	13.87571156
114	13.87499049
115	13.87457817
116	13.87398414
117	13.87350833
118	13.87308598
119	13.87231316
120	13.87194721
121	13.87152982
122	13.8711262
123	13.87074528
124	13.87043978
125	13.86987315
126	13.86923894
127	13.86887204
128	13.86833703
129	13.86788792
130	13.86742891
131	13.86714374
132	13.86670968
133	13.86631012
134	13.86598805
135	13.86543502
136	13.86508442
137	13.86480301
138	13.86449502
139	13.86424699
140	13.86386527
141	13.86350991
142	13.86313079
143	13.86260469
144	13.8621459
145	13.8615734
146	13.86099198
147	13.8606818
148	13.86034018
149	13.8601095
150	13.85983722
151	13.85955665
152	13.85918756
153	13.85882241
154	13.85857691
155	13.85835772
156	13.85816211
157	13.85790931
158	13.8575944
