iter	Passed	Remaining
0	1230	367899
1	2293	341805
2	3311	327838
3	4377	323907
4	5373	317048
5	6367	312016
6	7392	309430
7	8332	304135
8	9288	300315
9	10228	296636
10	11222	294835
11	12177	292254
12	13119	289635
13	14038	286777
14	14894	282989
15	15936	282873
16	16841	280360
17	17834	279413
18	18836	278585
19	19810	277341
20	20780	276080
21	21652	273608
22	22761	274129
23	23612	271541
24	24621	270841
25	25664	270461
26	26526	268215
27	27459	266750
28	28299	264452
29	29230	263073
30	30231	262328
31	31135	260760
32	31989	258827
33	32946	257758
34	33740	255460
35	34802	255217
36	35830	254685
37	36593	252299
38	37411	250367
39	38460	249996
40	39375	248738
41	40210	247007
42	41008	245095
43	41850	243494
44	42815	242623
45	43635	240944
46	44552	239822
47	45467	238706
48	46430	237836
49	47331	236658
50	48247	235560
51	49360	235410
52	50344	234622
53	51227	233369
54	52017	231715
55	52891	230455
56	53988	230162
57	54947	229264
58	55861	228181
59	56685	226743
60	57631	225800
61	58383	224116
62	59245	222875
63	60110	221656
64	61114	220954
65	62215	220582
66	62838	218529
67	63750	217502
68	64780	216872
69	65813	216245
70	66865	215664
71	67816	214751
72	68792	213916
73	69526	212338
74	70427	211283
75	71269	210057
76	72048	208661
77	72713	206952
78	73671	206094
79	74570	205068
80	75540	204238
81	76352	202986
82	77429	202437
83	78296	201334
84	79228	200401
85	80146	199433
86	80973	198246
87	82082	197743
88	83003	196783
89	83958	195904
90	84773	194700
91	85799	193981
92	86569	192687
93	87456	191659
94	88374	190702
95	89294	189751
96	90451	189294
97	91193	187970
98	92247	187290
99	93360	186721
100	94325	185849
101	95301	184996
102	96238	184067
103	97141	183073
104	98068	182127
105	99133	181432
106	100064	180490
107	101004	179563
108	101884	178531
109	102743	177465
110	103738	176635
111	104811	175933
112	105627	174798
113	106720	174123
114	107772	173373
115	108677	172384
116	109687	171562
117	110544	170500
118	111301	169290
119	112311	168467
120	113119	167341
121	113929	166225
122	114844	165264
123	115682	164193
124	116446	163025
125	117533	162307
126	118675	161659
127	119496	160572
128	120482	159709
129	121450	158820
130	122308	157787
131	123172	156764
132	124257	156022
133	125249	155159
134	126149	154182
135	127137	153312
136	128015	152310
137	128772	151167
138	129654	150175
139	130473	149112
140	131473	148257
141	132453	147377
142	133413	146475
143	134430	145632
144	135453	144795
145	136572	144056
146	137602	143218
147	138502	142245
148	139475	141348
149	140500	140500
150	141448	139575
151	142379	138632
152	144304	138645
153	147439	139780
154	150193	140504
155	152373	140652
156	153280	139612
157	154122	138514
158	155124	137562
