Dataset Name,Sex/Gender,Age,,Race/Ethnicity,HbA1C,,Total CGM Days,CGM Device
,M / F / Unknown,Mean,Range,,Mean,Range,,
Hall_2018,25 / 32 / 0,48.9,25 – 76,NR,5.4,4.6 – 6.7,473,Dexcom G4
D1NAMO,6/3/00,NR,20 – 79,NR,NR,NR,42,Medtronic iPro2 Professional CGM
Colas_2019,103 / 105 / 0,59.6,29 – 88,NR,5.8,5.1 – 6.5,399,Medtronic MiniMed iPro
OhioT1DM,7/5/00,NR,20 – 80,NR,NR,NR,652,Medtronic Enlite
T1DEXI,134 / 363 / 0,36.7,18 – 70,91.3% White,6.6,4.8 – 10,13522,Dexcom G6
T1DEXIP,143 / 104 / 0,13.8,12 – 17,89.1% White,7.1,5.1 – 15,2492,Dexcom G6
BIGIDEAs,7/9/00,NR,35 – 65,"68.75% White, 25% Black/African Am., 6.25% Bi–racial",5.7,5.3 – 6.4,150,Dexcom G6
DiaTrend,17 / 37 / 0,32.1,19 – 74,88.9% White,7.8,6.3 – 10,27663,"Dexcom G5/G6, Medtronic Guardian/MiniMed"
ShanghaiT1DM,5/7/00,57.8,37 – 73,NR,10.3,7.1 – 17.3,181,Abbott FreeStyle Libre H
ShanghaiT2DM,44 / 56 / 0,60.2,22 – 97,NR,9.1,4.3 – 15.4,1292,Abbott FreeStyle Libre H
T1DiabetesGranada,363 / 373 / 0,43.6,12 – 85,NR,NR,NR,257782,"Abbott FreeStyle Libre 2, Abbott FreeStyle Libre"
UCHTT1DM,10/10/00,27.2,NR,NR,NR,4.4 – 8.2,127,Medtronic Guardian 3
HUPA-UCM,12/13/00,39.2,18 – 62,NR,7.4,6 – 9.7,1093,Abbott Freestyle Libre 2
AI-READI,951 / 1329 / 0,60.8,40 – 94,"36.7% White, 22.8% Black, 23.9% Asian, 16.7% Hispanic",6.1,3.8 – 17,24012,Dexcom G6
CGMacros_Dexcom,16 / 29 / 0,48.1,18 – 69,"75.5% Hispanic/Latino, 15.5% White, 8.8% Black/African Am.",6.1,4.6 – 8.5,493,Dexcom G6 Pro
CGMacros_Libre,16 / 29 / 0,48.1,18 – 69,"75.5% Hispanic/Latino, 15.5% White, 8.8% Black/African Am.",6.1,4.6 – 8.5,533,Abbott FreeStyle Libre Pro
T1D-UOM,7/10/00,43.5,23 – 70,NR,NR,NR,1636,"Dexcom, Freestyle, Medtronic"
Bris-T1D_Open,3/15/02,22.3,18 – 26,85% White,NR,NR,3656,Dexcom G6 / Freestyle Libre 2 / Medtronic Guardian 4 / Dexcom One
AZT1D,12/13/00,59.2,27 – 80,NR,6.6,5 – 8.2,1063,Dexcom G6 Pro
Park_2025,15 / 19 / 4,55.6,25 – 79,"73.7% White, 18.4% Asian, 7.9% Hispanic/Latino",5.6,4.7 – 7,NR,Dexcom G4
PhysioCGM,6/4/00,31.8,24 – 41,NR,6.1,5.4 – 6.9,723,Dexcom G6
